aroma,body,flavor,roast_level,origin,est_price,rating
9.0,9.0,10.0,Medium-Light,"Kona growing region, Hawai’i Island, Hawai'i",$50.00/4 ounces,96.0
9.0,9.0,10.0,Medium-Light,"Tolima Department, Colombia",$26.00/8 ounces,96.0
8.0,9.0,9.0,Medium-Light,"Jarabacoa, Dominican Republic",$19.99/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,Ethiopia,$18.99/12 ounces,93.0
8.0,9.0,9.0,Light,"Planadas, Tolima Department, Colombia",$24.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Cauca Department, Colombia",$24.00/10.9 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Palestina, Huila Department, Colombia",$28.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",NT $450/8 ounces,93.0
,8.0,9.0,Light,"Sidamo growing region, southern Ethiopia",NT $450/8 ounces,93.0
8.0,8.0,9.0,Medium-Light,"Ethiopia, Brazil, Mexico, Papua New Guinea",$20.25/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Northern Province, Zambia",$22.95/12 ounces,94.0
8.0,8.0,8.0,Medium-Light,Mexico; Brazil; Central America,Kč 340/250 grams,90.0
8.0,8.0,9.0,Light,"Yirgacheffe growing region, south-central Ethiopia",Kč 595/500 grams,91.0
8.0,9.0,9.0,Medium-Light,"Guatemala, Ethiopia, Colombia",NT $230/8 ounces,93.0
9.0,8.0,9.0,Medium,"Guatemala, Colombia, Ethiopia",NT $230/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Ethiopia, Guatemala",NT $320/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Coatepec, Veracruz, Mexico",$22.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Los Santos, Tarrazú, Costa Rica",$18.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Chericho, Sidamo growing region, Ethiopia",$32.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Circasia Municipality, Quindio Department, Colombia",$13.50/4 ounces,93.0
9.0,9.0,9.0,Light,"Circasia Municipality, Quindio Department, Colombia",$13.50/4 ounces,94.0
9.0,9.0,9.0,Light,"Quảng Trị, Vietnam",$40.00/4 ounces,93.0
9.0,9.0,9.0,Light,"Carpinteria, Santa Barbara County, California, United States",$75.00/40 grams,95.0
9.0,9.0,9.0,Medium-Light,Ethiopia; Costa Rica; Brazil,NT $350/227 grams,93.0
9.0,9.0,9.0,Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $420/227 grams,95.0
9.0,9.0,9.0,Light,"Huila Department, Colombia",$18.00/250 grams,95.0
9.0,9.0,10.0,Medium-Light,"Medina Espejo, Nariño Department, Colombia",$28.00/8 ounces,96.0
9.0,9.0,9.0,Medium-Light,Ethiopia; South America,$16.95/12 ounces,93.0
9.0,9.0,9.0,Light,Colombia; Ethiopia,NT $450/200 grams,94.0
9.0,9.0,9.0,Light,Colombia,NT $600/200 grams,95.0
9.0,9.0,9.0,Medium-Light,"Cajamarca Department, Peru",$29.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Boquete, Panama","NT $1,000/20 grams",93.0
9.0,9.0,9.0,Medium-Light,Ethiopia; Tanzania,$19.00/12 ounces,93.0
9.0,8.0,9.0,Light,"Palestina, Huila Department, Colombia",$30.00/12 ounces,94.0
9.0,9.0,9.0,Light,Kenya; Ethiopia,$22.50/12 ounces,94.0
9.0,9.0,9.0,Light,"Bensa, Guji Zone, Oromia Region, southern Ethiopia",$19.00/6 ounces,95.0
10.0,9.0,9.0,Medium-Light,"Huila Department, Colombia",$19.00/150 grams,96.0
9.0,8.0,9.0,Medium-Light,"Kirinyaga County, Kenya",NT $510/227 grams,94.0
8.0,9.0,9.0,Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $430/227 grams,94.0
9.0,9.0,9.0,Light,"Nariño Department, Colombia",NT $750/227 grams,95.0
9.0,9.0,9.0,Light,"Nyeri County, Kenya",CAD $19.25/250 grams,94.0
8.0,9.0,9.0,Medium,Indonesia; Kenya; Colombia; El Salvador,$18.50/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Jinotega Department, Nicaragua",$35.99/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Pitalito, Huila Department, Colombia",$29.00/150 grams,95.0
9.0,9.0,9.0,Light,"Cauca Department, Colombia",$17.50/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",$16.95/12 ounces,94.0
9.0,8.0,9.0,Medium,Not disclosed,$19.50/12 ounces,92.0
9.0,9.0,9.0,Light,"Odo Shakiso, Guji Zone, Oromia Region, Ethiopia",$22.00/12 ounces,93.0
9.0,8.0,9.0,Light,Ethiopia; Colombia; Brazil,NT 450/200 grams,93.0
9.0,8.0,9.0,Light,"SNNPR, Bench-Maji Zone, southern Ethiopia",NT 400/200 grams,94.0
8.0,9.0,9.0,Medium-Light,Ethiopia; Colombia; Brazil,NT 400/454 grams,93.0
9.0,8.0,9.0,Light,"Palo de Campaña, Santa Ana Department, El Salvador",NT $170/100 grams,93.0
9.0,9.0,9.0,Light,"Santa Ana Department, El Salvador",NT $300/100 grams,94.0
8.0,8.0,9.0,Medium,Haiti; Brazil,$15.29/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",$18.99/12 ounces,94.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",NT $410/8 ounces,94.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",NT $390/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Huila Department, Colombia",$27.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Kiambu County, Kenya",$28.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Huila Department, Colombia",NT $750/200 grams,94.0
9.0,9.0,9.0,Medium-Light,"Fraijanes, Guatemala Department, Guatemala",NT $600/100 grams,94.0
9.0,9.0,9.0,Light,"Antigua Department, Guatemala","NT $1,200/100 grams",95.0
9.0,9.0,10.0,Medium-Light,"Fraijanes, Guatemala Department, Guatemala",NT $500/100 grams,96.0
8.0,9.0,9.0,Light,"Apaneca-Ilamatepec, Santa Ana Department, El Salvador",$27.00/12 ounces,92.0
